SAMPLE_NAME;ROCK1;SIO2_pct;TIO2_pct;AL2O3_pct;FEOT_pct;CAO_pct;MGO_pct;MNO_pct;K2O_pct;NA2O_pct;P2O5_pct
S01019;RHYOLITE;71.6;0.72;12;6.96;2.36;1.55;0.11;0.15;4.21;0.13
S01020;RHYOLITE;72;0.66;11.5;7.23;2.18;0.98;0.11;0.13;3.94;0.08
S01021;RHYOLITE;72.7;0.65;11.3;7.37;2.51;0.69;0.12;0.49;2.97;0.07
S01022;RHYOLITE;72.7;0.82;11.6;5.89;3.02;0.48;0.18;1.39;3.64;0.15
S01023;RHYOLITE;74.1;0.65;12;4.08;2.42;0.66;0.11;0.54;5.29;0.08
S01024;RHYOLITE;74.8;0.49;10.9;6.87;1.3;0.58;0.15;1.37;2.94;0.01
S01025;RHYOLITE;75.9;0.39;11.2;4.64;2.82;0.09;0.11;0.53;4.18;0.01
S01026;RHYOLITE;77.4;0.27;11.1;3.73;1.2;0.53;0.06;1.54;3.92;0
S01027;RHYOLITE;81.9;0.4;10.4;0.42;0.27;0;0.02;1.05;5.51;0
S01028;RHYOLITE;74.9;0.29;11.7;3.67;1.24;1.19;0.06;2.12;0.98;0.05
S01029;RHYOLITE;72.9;0.33;14.4;1.77;1.36;0.6;0.04;1.3;5.08;0.09
S01030;GABBRO;53.3;0.54;20.2;6.47;9.77;3.56;0.1;0.27;3.34;0.14
S01031;ANDESITE;55.95;0.57;18.68;7.62;8.42;2.98;0.11;1.23;3.43;0.14
S01032;RHYOLITE;73.3;0.2;15;1.65;1.98;0.65;0.03;1.94;4.19;0.07
S01033;DACITE;65;0.37;14.7;3.87;3.9;2.33;0.06;2.19;3.7;0.11
S01034;BASALT;51.6;0.99;12.6;11.4;9.6;8.43;0.19;0.93;1.9;0.09
S01035;ANDESITE;55.7;0.56;16.54;9.7;8.96;3.8;0.15;0.97;2.58;0.13
S01036;BASALT;52.4;0.52;11.9;9.12;8.88;12.1;0.18;0.06;2.7;0.04
S01037;ANDESITE;55.9;0.55;15.8;9.6;5.75;6.56;0.15;0.06;4.2;0.05
S01038;ANDESITE;52.5;0.96;14.4;9.23;8.96;7.67;0.15;0.17;3.9;0.09
S01039;ANDESITE;56.2;1.29;13.9;11.88;6.04;3.28;0.15;2.29;3.4;0.25
S01040;ANDESITE;53.25;1.61;14.76;13.56;6.66;3.27;0.18;1.17;3.67;0.36
S01041;RHYOLITE;76.81;0.35;12.66;0.55;0.33;0.08;0.02;5.2;3.98;0.05
S01042;DACITE;69.8;0.52;13.1;4.04;1.54;0.57;0.08;4.87;3.5;0.1
S01043;BASALT;50.62;0.9;19.65;10.78;7.4;3.22;0.13;2.63;2.95;0.12
S01044;GABBRO;50.26;0.64;18.37;10.7;10.81;5.17;0.18;0.55;2.8;0.08
