SAMPLE_NAME;ROCK1;SIO2_pct;TIO2_pct;AL2O3_pct;FEOT_pct;CAO_pct;MGO_pct;MNO_pct;K2O_pct;NA2O_pct;P2O5_pct
S01226;BASALT;47.36;0.87;15.48;12.73;13.12;7;0.26;1.51;0.19;0.07
S01227;BASALT;47.08;0.89;15.69;13.48;10.39;7.38;0.23;2.89;0.4;0.07
S01228;BASALT;49.18;1.19;14.49;12.95;10.92;7.07;0.19;2.32;0.15;0.09
S01229;BASALT;46.02;0.87;13.73;12.07;16.31;6.25;0.29;2.69;0.36;0.06
S01230;BASALT;51.11;1.01;13.29;13.43;10.73;6.82;0.22;1.73;0.1;0.06
S01231;BASALT;50.4;0.89;14.5;12.03;11.01;5.97;0.21;3.38;0.2;0.07
S01232;BASALT;52.73;0.9;17.5;8.53;12.1;3.64;0.26;3.25;0.06;0.06
S01233;BASALT;50.73;1.42;13.56;14.73;10.05;5.78;0.22;1.72;0.05;0.11
S01234;BASALT;52.21;0.9;16.68;10.23;12.35;3.66;0.27;2.11;0.36;0.09
S01235;BASALT;54.48;1.08;16.88;9.46;10.12;3.15;0.29;2.94;0.48;0.09
S01236;BASALT;50.79;0.66;15.88;10.42;10.93;7.72;0.17;0.19;2.07;0.06
S01237;BASALT;49.95;1.03;15.11;11.64;11.44;6.99;0.2;0.11;2.03;0.07
S01238;BASALT;48.67;0.54;12.87;10.77;11.4;11.54;0.25;0.27;1.48;0.03
S01239;KOMATIITE;42.36;0.29;5.93;10.32;6.2;25.74;0.17;0.07;0.19;0.02
S01240;KOMATIITE;44.52;0.59;14.35;12.09;9.06;14.91;0.22;0.15;1.41;0.04
S01241;BASALT;46.12;0.51;16.61;10.23;9.36;10;0.19;2.58;1.34;0.04
S01242;BASALT;53.5;0.77;14.13;12.01;8.37;5.35;0.2;0.4;3.05;0.09
S01243;BASALT;49.33;0.46;12.6;14.17;10.23;8.05;0.28;0.27;2.58;0.01
S01244;BASALT;48.61;0.74;15.4;10.73;13.08;6.99;0.21;0.62;1.77;0.05
S01245;BASALT;48.99;0.61;15.58;10.58;11.66;8.72;0.19;0.15;1.7;0.05
S01246;KOMATIITE;42.12;0.4;7.84;9.83;6.23;25.59;0.11;0.03;0.33;0.02
S01247;KOMATIITE;43.81;0.3;6.41;10.41;6.17;27.98;0.17;0.11;0.51;0.02
S01248;KOMATIITE;44.41;0.3;6.18;10.35;6.81;27;0.17;0.06;0.49;0.02
S01249;BASALT;49.27;0.85;15.38;10.82;11.56;7.82;0.18;0.49;1.65;0.06
S01250;BASALT;48.54;1.04;14.57;13.05;7.57;8.05;0.21;1.48;2.56;0.07
S01251;BASALT;48.63;0.83;15.07;11.2;11.43;7.56;0.21;0.35;2.63;0.06
S01252;GABBRO;51.26;0.38;14.23;8.94;10.52;9.23;0.17;0.5;2.71;0.04
S01253;GABBRO;48.93;0.31;17.21;7.28;10.19;10.52;0.16;0.99;1.45;0.02
S01254;BASALT;46.47;0.73;15.21;10.57;13.03;8.95;0.18;0.72;1.35;0.05
S01255;BASALT;48.13;0.87;14.76;;9.34;10.16;0.2;0.13;2.12;0.05
S01256;BASALT;50.32;0.87;14.22;;7;9.88;0.22;0.08;2.92;0.06
S01257;BASALT;48.99;0.54;14.84;;13.01;9.8;0.17;0.04;1.19;0.04
S01258;BASALT;51.05;0.59;15.12;;12.01;7.71;0.18;0.1;2.73;0.04
S01259;BASALT;49.8;0.94;14.98;;11.64;7.22;0.23;0.14;1.32;0.07
S01260;BASALT;49.49;1.18;14.97;;10.39;6.46;0.16;0.14;2.9;0.05
S01261;BASALT;51.26;1.33;14.44;;9.25;6.26;0.18;0.17;2.58;0.08
S01262;BASALT;50.92;1.01;15.33;;9.64;6.11;0.18;0.15;2.69;0.06
S01263;BASALT;42.48;1.69;19.31;;10.16;5.93;0.24;0.74;2.14;0.12
S01264;BASALT;53.43;1.23;15.5;;5.68;5.89;0.18;0.39;3.8;0.12
S01265;BASALT;58.06;0.57;13.46;;10.69;5.65;0.12;0.22;2.99;0.17
S01266;BASALT;47.82;1.14;17.07;;11.42;5.56;0.19;0.14;2.7;0.07
S01267;BASALT;50.43;1.22;15.53;;10.19;5.38;0.2;0.24;3.1;0.1
S01268;BASALT;49.35;1.57;15.03;;10.87;5.05;0.29;0.07;2.71;0.13
S01269;BASALT;56.06;0.82;17.7;;6.58;4.65;0.14;0.97;3.76;0.2
S01270;BASALT;51.75;1.16;16.24;;10.29;4.54;0.18;0.24;1.89;0.1
S01271;BASALT;48.63;1.21;15.77;;13.29;4.33;0.19;0.4;2.91;0.09
S01272;BASALT;52.26;1.57;14.89;;11.75;3.49;0.24;0.38;2.41;0.14
S01273;BASALT;50.36;0.69;11.59;;8.38;13.43;0.21;0.4;2.24;0.25
S01274;BASALT;48;1.11;17.19;;10.76;8.05;0.19;0;0.22;0.11
S01275;BASALT;49.57;0.92;15.61;;8.58;7.67;0.23;0.05;3.27;0.07
S01276;BASALT;51.99;0.71;15.7;;10.61;6.67;0.24;0;1.72;0.05
S01277;BASALT;54.19;0.87;18.31;;6.22;4.01;0.21;3.33;1.61;0.21
S01278;BASALT;53.62;2.11;12.13;;6.05;3.21;0.24;0.24;3.03;0.63
S01279;KOMATIITE;52.4;0.28;5.23;9.47;10.9;21.7;0.19;0.05;0.12;0.02
S01280;KOMATIITE;53.6;0.22;4.1;7.91;8;25.6;0.16;0.02;0;0.03
S01281;KOMATIITE;49.2;0.29;5.38;9.85;5.47;28.4;0.14;0.03;0;0.02
S01282;KOMATIITE;44.4;0.58;9.27;13.33;8.37;22.8;0.16;0.19;0;0.05
S01283;BASALT;53.6;1.88;13.63;12.7;9.78;4.17;0.28;0.35;2.12;0.15
S01284;BASALT;51.6;1.84;12.95;14.26;8.13;4.3;0.23;0.28;3.4;0.17
S01285;BASALT;55.1;2.11;14.14;11.9;5.17;4.64;0.18;0.81;4.11;0.19
S01286;GABBRO;48.3;1.73;14.19;15.18;8.77;5.27;0.2;0.54;3.29;0.09
S01287;GABBRO;59.6;1.68;13.21;12.24;4.6;1.84;0.18;0.39;4.35;0.25
S01288;GABBRO;44.3;1.98;17.4;16.11;10.6;2.72;0.17;0.22;2.12;0.18
S01289;GABBRO;49.6;1.11;14.2;11.52;12.1;7.79;0.21;0.1;1.9;0.13
S01290;RHYOLITE;74.4;0.25;11.4;2.34;1.06;1.27;0.02;4.73;1.18;0.03
S01291;BASALT;48.4;1.37;11.7;14.04;9.24;5.53;0.35;0.31;1.74;0.17
S01292;BASALT;55.1;0.93;16.4;6.21;6.44;3.42;0.1;1.22;3.65;0.16
S01293;BASALT;49.6;1.23;14.5;14.4;8.18;5.14;0.25;0.15;3.44;0.1
S01294;BASALT;48.5;1.28;13.3;14.49;8.78;5.57;0.26;0.15;3.07;0.1
S01295;GABBRO;46.4;0.2;15.4;9;6.54;12;0.13;0.42;1.95;0.02
S01296;GABBRO;46.9;0.16;21.3;4.86;11.55;8.46;0.11;0.34;1.48;0.02
S01297;GABBRO;49.3;1.07;16.8;11.07;10.6;6.5;0.19;0.16;2.28;0.22
S01298;ANDESITE;55.2;1.03;19.11;;8.69;2.59;;1.65;2.96;0.44
S01299;ANDESITE;56;0.99;19.22;;7.76;2.89;;2.08;3.67;0.41
S01300;ANDESITE;60.68;0.64;17.74;;4.24;3.13;;2.16;4.36;0.19
S01301;DACITE;64.43;0.56;17.08;;3.23;2.54;;2.17;4.17;0.16
S01302;DACITE;64.52;0.54;15.83;;4.11;2.74;;1.08;4.27;0.12
S01303;DACITE;65.61;0.48;16.7;;4.27;1.87;;2.27;3.6;0.12
S01304;DACITE;68.42;0.25;16.43;;2.68;1.31;;2.32;4.17;0.14
S01305;DACITE;69.56;0.46;15.28;;4.15;1.56;;1.78;4.39;0.15
S01306;RHYOLITE;74.51;0.3;14.75;;1.51;0.81;;1.19;4.87;0.07
S01307;BASALT;47.49;0.91;15.43;;12.43;6.63;0.18;0.16;2.15;0.43
S01308;BASALT;50.29;1.34;16.9;;4.15;7.29;0.15;0.09;4.41;0.2
S01309;BASALT;50.39;0.98;13.77;;9;7.34;0.2;0.76;2.8;0.07
S01310;BASALT;51.53;1.04;17.75;;3.79;5.26;0.14;0.48;5.97;0.17
S01311;BASALT;52.97;1.11;14.17;;4.39;8.43;0.14;0.45;3.74;0.17
S01312;BASALT;53.62;1.21;18.76;;7.77;3.42;0.13;0.22;2.89;0.19
S01313;BASALT;53.7;1.09;16.56;;8.42;4.93;0.15;0.06;4.55;0.2
S01314;BASALT;55.37;0.88;15.91;;7.66;5.29;0.15;0.44;2.59;0.15
S01315;BASALT;56.05;0.78;16.79;;4.86;4.83;0.15;0.32;6.76;0.13
S01316;BASALT;56.26;0.76;15.91;;8.05;4.93;0.14;0.43;4.26;0.13
S01317;BASALT;60.89;0.94;14.21;;6.44;3.38;0.14;0.34;2.11;0.14
S01318;THOLEIITE;50.15;0.72;14.74;;10.68;8.46;0.13;0.51;1.87;0.04
S01319;THOLEIITE;53.12;2.26;13.31;;6.24;3.6;0.25;0.73;3.08;0.34
S01320;THOLEIITE;56.13;1.65;12.49;;3.4;2.3;0.17;0.09;3.9;0.66
S01321;THOLEIITE;59.46;1.53;10.82;;5.84;2.14;0.2;0.11;3.9;0.61
S01322;ANDESITE;52.77;1.13;16.31;;12.67;3.99;;0;0.35;0.16
S01323;ANDESITE;60.8;1.17;13.85;;8.38;3.52;;0;1.78;0.15
S01324;ANDESITE;77.8;1.05;12.37;;1.85;0;;0.39;5.03;0.29
S01325;ANDESITE;39.42;1.7;17.83;;10.7;7.26;;0;0.37;0.2
S01326;ANDESITE;65.76;1.09;12.95;;7.33;2.58;;0;2.9;0.12
S01327;ANDESITE;75.79;0.89;9.07;;2.93;0.43;;0;8.59;0.12
S01328;ANDESITE;51.44;1.35;15.18;;4.95;9.94;;0;0.33;0.11
S01329;ANDESITE;62.26;0.85;13.81;;8.85;4.5;;0;1.63;0.06
S01330;ANDESITE;75.31;0.78;12.69;;2.69;0.66;;0.01;5.77;0.07
S01331;DACITE;71.9;1.33;10.29;;6.94;0.12;;0;1.76;0.21
S01332;DACITE;69.57;1.39;11.04;9.01;4.77;1.77;;0.07;2.21;
S01333;DACITE;69.37;1.51;11.61;;7;1.53;;0;1.62;0.24
S01334;DACITE;76.01;0.8;10.56;3.45;5.14;0.13;;0.01;3.87;
S01335;DACITE;58.04;2.04;12.24;14.17;10.25;1.5;;0.05;1.38;
S01336;DACITE;65.7;1.66;11.53;;3.21;2.09;;0.01;2.23;0.28
S01337;DACITE;65.96;1.64;12.3;;3.78;0.9;;;2.24;0.25
S01338;DACITE;76.69;0.97;10.98;2.5;4.28;0.15;;0.02;4.4;
S01339;ANDESITE;61.22;1.9;12.64;;2.62;1.44;;0;2.6;0.37
S01340;ANDESITE;58.63;0.77;13.1;;9.94;7.06;;0.05;1.76;0.05
S01341;BASALT;49.79;0.73;16.61;8.78;11.01;9.85;0.16;0.6;2.2;0.26
S01342;BASALT;50.29;0.75;16.57;9.07;10.78;7.83;0.13;1.38;2.99;0.21
S01343;BASALT;48.46;0.49;18.39;9.1;10.85;9.07;0.15;1.37;2;0.23
S01344;ANDESITE;58.73;1.44;15.78;8.34;3.86;1.93;0.11;4.17;4.94;0.7
S01345;RHYOLITE;74.4;0.24;11.4;2.37;1.06;1.27;0.02;4.73;1.18;0.03
S01346;RHYOLITE;74.4;0.1;11.7;3.57;1.39;0.91;0.11;3.56;1.16;0.02
S01347;RHYOLITE;75.1;0.12;11.1;2.35;2.06;0.64;0.06;3.12;2.19;0.02
S01348;RHYOLITE;69.4;0.85;14.73;4.18;3.77;1.43;0.13;0.08;4.8;
S01349;RHYOLITE;72.65;0.48;13.62;3.58;1.35;0.52;0.14;1.9;3.67;
S01350;RHYOLITE;74.89;0.41;13.85;1.87;2.62;0.52;0.05;0.41;5.03;
S01351;RHYOLITE;76.7;0.2;10.8;3.18;1.92;0.65;;2.12;3.8;
S01352;RHYOLITE;80.65;0.68;10.8;0;1.23;0.04;0.03;0.25;5.1;
S01353;RHYOLITE;69.97;0.68;13.7;5.45;1.64;2.43;0.13;0.46;3.94;
S01354;RHYOLITE;62.4;1.03;15.26;9.78;2.46;3.01;0.22;0.18;4.2;
S01355;KOMATIITE;45.2;0.3;9.3;11.5;8.4;24.8;;0.1;0.2;
S01356;KOMATIITE;40;0.14;3.7;8.2;3.28;35.1;0.15;0.1;0.07;
S01357;KOMATIITE;41.2;0.17;4.84;10.1;4.04;32.1;0.2;0.02;0.28;
S01358;KOMATIITE;41.4;0.33;6.9;12.4;5.9;25.6;0.24;0.07;0.06;
S01359;KOMATIITE;44.2;0.26;7.12;11.3;7.39;25.1;0.2;0.06;0.8;
S01360;KOMATIITE;41.1;0.42;8.74;12.8;8.76;22.1;0.2;0.01;0.11;
S01361;KOMATIITE;42.2;0.28;6.1;10.5;5.83;26.3;0.22;0.11;0.19;
S01362;KOMATIITE;45.6;0.46;8.4;;8.1;20.6;0.19;0.03;0.46;
S01363;KOMATIITE;48.3;0.62;10.8;;10;13.9;0.18;0;2.24;
S01364;KOMATIITE;47.2;0.43;11.9;;9.9;12.6;0.2;0.01;1.91;
S01365;KOMATIITE;50.4;0.57;12;;11.1;10.2;0.17;0.28;0.56;
S01366;KOMATIITE;51.2;0.8;13.9;;10.8;7.5;0.17;0.02;1.77;
S01367;BASALT;48.6;1.51;12;;9.4;4.67;0.21;0.05;4.6;
S01368;KOMATIITE;46;0.27;7.21;10.4;7.08;27.5;0.19;0.13;0.42;
S01369;KOMATIITE;45.4;0.27;6.93;11.3;7.36;26.5;0.21;0.15;0.37;
S01370;KOMATIITE;45.9;0.31;7.32;11.1;7.59;26.1;0.21;0.1;0.7;
S01371;KOMATIITE;45.7;0.29;7.28;11.3;7.69;26;0.2;0.09;0.69;
S01372;KOMATIITE;44.8;0.12;4.34;10.1;3.33;35.9;0.15;0.01;0.13;
S01373;KOMATIITE;45;0.15;4.82;9.87;4.46;34.2;0.19;0.04;0.12;
S01374;KOMATIITE;45.1;0.19;5.47;10.4;5.83;31.9;0.18;0.07;0.29;
S01375;KOMATIITE;44.6;0.17;5.06;9.76;5.29;33.1;0.18;0.04;0.29;
S01376;KOMATIITE;46;0.28;6.71;10.8;6.73;27.9;0.19;0.11;0.26;
S01377;KOMATIITE;45.5;0.21;5.91;10.7;5.92;31.2;0.19;0.08;0.4;
S01378;ANDESITE;60.3;0.53;14;6.26;9.4;2.8;0.09;0.23;3.82;
S01379;ANDESITE;51.5;1.49;16.5;9.91;7.53;6.18;0.12;0.51;2.38;
S01380;ANDESITE;47.4;1.27;14.7;15.88;9.32;6.08;0.19;0.12;2.46;
S01381;ANDESITE;57.9;0.88;10;11.61;7.75;4.7;0.16;0.12;1.22;
S01382;BASALT;53.7;1.49;14.1;14.45;7.19;3.7;0.25;0.1;3.69;
S01383;BASALT;45;0.54;10.3;11.2;9;17.9;0.19;0.09;0.79;
S01384;BASALT;44.8;0.9;12.9;12.9;13.3;8.57;0.22;0.11;0.42;
S01385;BASALT;46.6;0.5;13.3;7.85;14.9;9.28;0.16;0.15;1.06;
S01386;BASALT;49.5;0.79;10.7;12.9;10.5;7.8;0.21;0.17;2.7;
S01387;ANDESITE;54.7;0.88;12.4;7.48;10.8;4.08;0.11;0.25;2.12;
S01388;ANDESITE;60.6;0.93;11;10.2;7.1;3.04;0.13;0.36;2.83;
S01389;DACITE;65.1;0.56;11.5;6.45;5.02;1.48;0.05;0.92;3.1;
S01390;BASALT;47.8;0.81;16.9;13.4;10.4;9.43;0.21;0.19;0.91;
S01391;BASALT;49.9;0.95;14;13.8;9.68;7.64;0.22;0.24;1.59;
S01392;BASALT;49.3;0.69;13.2;11.1;10.5;8.48;0.21;0.68;1.3;
S01393;ANDESITE;53.1;1.04;11;13.5;9;7.12;0.2;0.17;1.38;
S01394;DACITE;65.2;0.89;11.2;8.9;5.58;1.74;0.11;0.35;2.44;
S01395;DACITE;69.8;0.59;10.4;6.18;2.35;1.8;0.06;0.18;3.67;
S01396;BASALT;44.9;2.34;12.7;20;8.48;6.4;0.32;0.06;0.2;
S01397;BASALT;45.5;2.76;13;17.55;7.68;5.29;0.29;0.14;1.27;
S01398;BASALT;47.3;2.59;13.4;17;7.34;5.11;0.32;0.3;3.72;
S01399;BASALT;49;1.83;15.1;12.56;8.38;4.81;0.22;0.12;3.48;
S01400;ANDESITE;54.2;1.04;15.9;7.83;8.28;4.18;0.13;0.18;4.57;
S01401;ANDESITE;57.8;0.86;15.9;7.62;6.2;2.68;0.07;0.56;3.4;
S01402;ANDESITE;62.7;1.15;12.4;6.75;6;2.68;0.09;0.14;5.82;
S01403;DACITE;63.6;0.67;14.1;6.9;2.96;3.47;0.07;1.48;3.96;
S01404;BASALT;48.1;0.26;18.7;12.52;5.91;6.75;0.14;0.13;0.47;
S01405;BASALT;49.1;1.25;15.7;10.83;9.88;6.6;0.09;0.68;0.62;
S01406;BASALT;51.6;1.08;17.5;8.85;8.63;4.31;0.14;0.2;2.96;
S01407;ANDESITE;53.3;1.25;17.1;8.3;5.45;4.18;0.1;0.09;4.88;
S01408;ANDESITE;55.2;1.11;16.6;8.6;3.08;5.22;0.16;0.79;3.99;
S01409;ANDESITE;58.9;0.98;14.1;7.87;6.05;3.85;0.1;0.56;3.59;
S01410;DACITE;69;0.68;12.6;4.25;2.15;0.78;0.04;1.08;3.99;
S01411;RHYOLITE;72.4;0.86;11.4;5.5;1.83;1.79;0.09;0.67;4.33;
S01412;GABBRO;49.1;1.92;12.2;;6.9;3.8;0.22;0.4;4.2;
S01413;GABBRO;46.8;1.7;13.6;;11.1;6;0.19;0.52;2.37;
S01414;GABBRO;63.75;0.9;14.4;;4.45;2.75;0.15;0.88;4.93;
S01415;GABBRO;67.1;0.81;15.7;;2.75;1.8;0.073;0.4;5.95;
S01416;GABBRO;56.25;1.65;14.3;;2.8;2.85;0.17;0.23;4.37;
S01417;GABBRO;56.6;1.42;12.8;;4.8;2;0.2;0.66;4.08;
S01418;GABBRO;53.1;0.6;4.58;;16.6;12.8;0.21;;1.19;
S01419;GABBRO;44.11;1.38;12.4;;11.65;6.74;0.21;0.53;1.91;
S01420;GABBRO;53.2;1.65;13.1;;6.2;2.9;0.25;0.34;3.62;
S01421;GABBRO;60.5;1;14.4;;6.25;2.7;0.18;0.73;4.37;
S01422;GABBRO;52.7;1.6;13.25;;7.3;3.55;0.2;0.26;4.08;
S01423;GABBRO;51.8;1.45;13.2;;5.85;2.5;0.22;0.43;3.7;
S01424;GABBRO;52.9;1.45;13.5;;5.95;2.6;0.24;0.15;4.11;
S01425;GABBRO;47.15;2.3;11.75;;8.1;4;0.24;0.4;3.3;
S01426;GABBRO;49.7;1.8;12.75;;10.3;5.05;0.2;0.21;4;
S01427;GABBRO;48.8;1.16;8.95;;12.5;10.5;0.17;0.08;1.03;
S01428;ANDESITE;54.33;0.66;17.14;;6.79;5.75;0.11;0.1;4.5;0.12
S01429;ANDESITE;52.02;0.68;17.16;;6.05;5.87;0.19;2.84;3.77;0.4
S01430;BASALT;54.45;0.8;20.73;;0.91;6.82;0.09;0.02;3.5;0.21
S01431;ANDESITE;53.35;1.24;13.93;12.32;7.06;6.96;;0.08;2.22;0.2
S01432;ANDESITE;55.56;1.03;13.97;10.35;9.95;3.93;;0.15;3;0.12
S01433;RHYOLITE;75.86;0.4;12.16;3.49;1.43;1.08;;0.64;3.91;0.1
S01434;DACITE;69.53;0.39;17.12;3.58;2.17;1.82;;0.99;4.01;0.1
S01435;BASALT;50.5;0.69;15.9;10.68;11.58;5.91;;0.09;2.27;0.15
S01436;BASALT;52.87;1.75;15.4;11.6;7.6;5.51;;0.01;4.51;0.18
S01437;DACITE;65.28;0.92;17.13;2.66;4.74;1.06;;0.76;6.14;0.1
S01438;BASALT;50.3;1.82;15.61;12.38;13.97;2.12;;0.71;1.44;0.15
S01439;BASALT;56.43;1.29;11.91;10.88;6.92;7.67;;0.02;3.33;0.12
S01440;ANDESITE;60.6;1.17;14.77;8.75;5.27;3.62;;0.48;3.88;0.23
S01441;KOMATIITE;44.99;0.46;8.86;;8.61;22.87;0.21;0.02;0.85;0.06
S01442;KOMATIITE;45.4;0.52;8.72;;8.86;23.33;0.21;0.13;0.96;0.06
S01443;KOMATIITE;48.12;0.52;9.92;;8.76;19.1;0.23;0.06;1.07;0.08
S01444;KOMATIITE;45.29;0.55;10.49;;8.65;20.73;0.21;0.03;0.97;0.07
S01445;BASALT;49.89;0.61;12.74;;9.82;12.11;0.23;0.12;3.16;0.08
S01446;BASALT;46.5;0.62;12.87;;7.85;15.03;0.27;0.21;2.62;0.08
S01447;BASALT;50.03;0.57;8.7;;9.27;15.07;0.27;0.04;2.3;0.06
S01448;BASALT;51.65;0.65;13.44;;10.95;10.08;0.17;0.8;1.84;0.09
S01449;BASALT;50.07;0.69;14.02;;9.31;10.75;0.2;0.68;2.25;0.08
S01450;BASALT;48.12;0.58;10.74;;9.1;17.38;0.22;0.1;1.7;0.06
S01451;BASALT;52.11;0.63;13.4;;8.82;10.91;0.16;0.44;2.47;0.07
S01452;BASALT;50.36;0.56;10.86;;7.46;15.75;0.2;0.13;2.82;0.07
S01453;THOLEIITE;54.99;0.73;15.03;;9.45;6.83;0.2;0.08;4.76;0.09
S01454;THOLEIITE;52.75;0.7;14.79;;10.18;8.64;0.14;0.23;2.27;0.08
S01455;THOLEIITE;52.45;0.68;13.69;;10.7;9.39;0.18;0.4;2.42;0.08
S01456;THOLEIITE;52.32;0.73;14.82;;10.62;7.76;0.19;0.27;2.26;0.09
S01457;THOLEIITE;51.97;0.69;14.69;;9.66;8.26;0.18;0.97;3.11;0.08
S01458;THOLEIITE;53.37;0.77;14.49;;7.61;7.07;0.2;0.25;4.84;0.1
S01459;THOLEIITE;57.01;0.65;13.91;;9.38;7.14;0.15;0.09;4.54;0.08
S01460;THOLEIITE;55.49;0.73;15.51;;9.86;7.13;0.14;3.21;0.85;0.09
S01461;THOLEIITE;50.17;1.48;12.41;;8.82;7.13;0.27;0.07;3.9;0.13
S01462;THOLEIITE;47.99;1.77;13.83;;8.93;6.88;0.39;0.91;2.92;0.14
S01463;THOLEIITE;52.47;1.6;13.06;;7.62;5.54;0.37;0.23;2.29;0.15
S01464;THOLEIITE;46.69;1.38;11.87;;10.71;8.29;0.31;0.09;3.13;0.12
S01465;THOLEIITE;50.11;1.62;16.09;;10.64;5.03;0.27;0.16;2.16;0.16
S01466;THOLEIITE;50.95;1.49;11.99;;9.23;7.26;0.27;0.06;3.58;0.14
S01467;THOLEIITE;49.18;1.18;14.95;;8.95;7.29;0.3;1.32;3.03;0.14
S01468;THOLEIITE;49.56;1.55;12.79;;8.19;6.37;0.28;2.28;2.86;0.13
S01469;BASALT;50;0.85;12.41;10.82;10.1;12;0.2;0.7;1.51;0.17
S01470;BASALT;52.23;0.83;6.43;10.84;0.03;12.5;0.21;0.12;1.34;0.03
S01471;BASALT;50.14;1.45;13.04;14.14;11.71;5.52;0.26;0.86;1.27;0.14
S01472;KOMATIITE;48.22;1.45;9.24;;11.91;6.18;0.23;0.06;2.41;0.1
S01473;KOMATIITE;49.37;1.15;6.05;;14.28;11.88;0.25;0.22;0.55;0.09
S01474;KOMATIITE;43.34;2.76;6.43;;13.4;7.95;0.28;0.13;0.13;0.08
S01475;KOMATIITE;50.32;0.86;15.22;;5.45;2.79;0.25;0.32;5.2;0.15
S01476;KOMATIITE;45.59;1.44;7.86;;13.14;6.54;0.27;0.16;1.72;0.1
S01477;KOMATIITE;38.47;0.44;2.17;;1.76;31.31;0.22;;;
S01478;KOMATIITE;49.42;0.62;12.78;10.95;11.22;11.6;0.18;0.08;2.06;0.05
S01479;KOMATIITE;45.85;0.49;9.36;11.76;10.85;19.26;0.24;0.03;0.18;0.05
S01480;KOMATIITE;49.88;0.6;11.94;11.72;10.41;12.06;0.19;0.15;1.8;0.05
S01481;KOMATIITE;46.68;0.55;10.84;12.27;10.23;16.35;0.2;0.06;1.16;0.05
S01482;KOMATIITE;49.18;0.59;11.98;12.15;8.72;14;0.23;0.12;1.42;0.05
S01483;KOMATIITE;41.3;0.12;4.19;9.2;3.56;32.4;0.16;0.02;0.11;
S01484;BASALT;51.02;0.61;12.2;10.44;8.5;12.2;0.19;0.09;3.39;0.07
S01485;KOMATIITE;52.05;0.88;14.43;10.06;10.54;7.51;0.17;0.09;3.09;0.09
S01486;KOMATIITE;52.3;0.564;9.36;9.54;9.99;13.7;0.222;0.021;2.87;0.053
S01487;KOMATIITE;49.4;0.577;16;10.89;12.3;6.57;0.432;0.054;2.02;0.065
S01488;THOLEIITE;53.6;0.596;16.2;10.17;9.11;6.72;0.21;0.031;1.66;0.073
S01489;KOMATIITE;52.6;1.23;14.4;9.99;11.7;4.23;0.262;0.098;3.9;0.109
S01490;THOLEIITE;56.4;1.45;15.7;9.09;6.95;4.78;0.217;0.237;3.72;0.134
S01491;THOLEIITE;53.1;0.673;16.1;11.25;7.75;6.11;0.314;0.063;2.7;0.073
S01492;THOLEIITE;49.9;0.527;8.58;10.71;10.5;16.1;0.288;0.011;1.62;0.053
S01493;THOLEIITE;42.9;0.476;7.64;10.62;9.42;26.9;0.237;0.011;0.124;0.045
S01494;BASALT;47.5;0.81;15.3;11.25;12.6;7;0.19;0.1;1.51;0.06
S01495;BASALT;48.7;0.83;15.1;10.98;12.2;7.36;0.19;0.18;1.59;0.07
S01496;BASALT;52.32;1.15;13.54;11.9;10.99;6.31;0.23;0.17;1.92;0.12
S01497;BASALT;51.35;0.74;14.7;10.06;10.01;9.78;0.13;0.12;1.9;0.06
S01498;BASALT;51.5;1.25;13.6;13.86;9.3;6.1;0.2;0.2;2.3;0.12
S01499;BASALT;47.8;2.2;8.23;14.13;11.4;9.47;0.23;0.1;2.7;0.14
S01500;BASALT;52.15;1.62;14.36;11.91;8.84;6.48;0.16;0.52;2.45;0.17
S01501;BASALT;52.83;1.13;15.5;10.19;9.83;5.06;0.22;0.75;3.27;0.07
S01502;KOMATIITE;49.25;1.11;5.99;13.41;10.28;17.5;0.23;0.09;0.66;0.07
S01503;BASALT;49.46;1.24;15.28;13.21;10.66;6.18;0.2;0.15;2.08;0.08
S01504;BASALT;50.68;0.86;15.36;10.96;11.67;6.26;0.18;0.72;2.03;0.06
S01505;BASALT;49.2;0.73;14.3;12.15;11.3;8.05;0.21;0.09;1.71;0.07
S01506;BASALT;48.6;0.81;15.6;12.42;11;6.66;0.22;0.13;1.74;0.04
S01507;RHYOLITE;79.1;0.1;10.6;0.23;0.87;0.15;0.03;7.54;0.87;0.03
S01508;ANDESITE;57.5;0.98;14.8;7.18;6.18;3.72;0.16;0.21;4.36;0.18
S01509;BASALT;46.8;0.67;14.9;10.8;9.83;7.6;0.18;0.02;0.29;0.07
S01510;BASALT;46.5;0.59;12.2;10.8;9.49;14;0.2;0.02;1.2;0.06
S01511;BASALT;49.7;0.69;13.8;9.63;10.3;7.78;0.19;0.33;3.41;0.19
S01512;RHYOLITE;64.4;0.46;16.8;4.13;3.83;2.44;0.06;1.8;4.39;0.14
S01513;KOMATIITE;43.4;0.35;7.95;9.81;7;22.1;0.19;0.04;0.69;0.04
S01514;ANDESITE;55.5;0.66;13.6;8.3;7.55;6.04;0.15;2.38;2.46;0.23
S01515;RHYOLITE;72.2;0.18;13.5;1.12;3.3;0.61;0.04;1.58;4.23;0.07
S01516;GABBRO;52.1;0.97;13.7;9.63;7.36;4.22;0.19;5.66;2.97;0.78
S01517;RHYOLITE;78.4;0.22;11.1;2.73;0.49;1.54;0.01;1.12;0.65;0.03
S01518;RHYOLITE;52.6;0.19;8.9;20.16;1.41;1.89;0.13;1.87;0.92;0.03
